年,作歌,作曲,曲名,ファイル名,フラグ,ヘッダ,midi,mp3,html
札幌農学校校歌,大和田建樹氏 校閲 有島武朗,納所弁次郎,永遠の幸,append/a000.txt,0,6,a000,a000,a000
明治40年寮歌,田中義麿,高松正信,一帯ゆるき,ryoka/m40.txt,1,5,m40,m40,m40
明治41年寮歌,田中義麿,早川直瀬君・前川徳次郎,太虚の齢,ryoka/m41.txt,1,5,m41,m41,m41
明治42年寮歌,加藤茂雄,金原善知,希望の光,ryoka/m42.txt,1,5,m42,m42,m42
明治43年寮歌,谷村愛之助,柳沢秀雄,帝都を北に,ryoka/m43.txt,1,5,m43,m43,m43
明治44年寮歌,松山茂助,柳沢秀雄,藻岩の緑,ryoka/m44.txt,1,5,m44,m44,m44
明治45年寮歌,横山芳介,赤木顕次,都ぞ弥生,ryoka/m45.txt,1,5,m45,m45,m45
大正2年寮歌,木原均,柳沢秀雄,幾世幾年,ryoka/t02.txt,1,5,t02,t02,t02
大正3年寮歌,樋口桜五,赤木顕次,我が運命こそ,ryoka/t03.txt,1,5,t03,t03,t03
大正4年寮歌,沢田退蔵,,時轍乾坤に,ryoka/t04.txt,1,4,t04,t04,t04
大正5年南寮寮歌,長崎次郎,黒住須賀夫,穹蒼高く,ryoka/t05.txt,1,5,t05,t05,t05
大正5年北寮寮歌,桜井芳次郎,橋本吉郎,荒潮繞る,ryoka/t05b.txt,1,5,t05b,t05b,t05b
大正6年寮歌,佐藤惣之助,植村泰二,魔神の呪,ryoka/t06.txt,1,5,t06,t06,t06
大正7年寮歌,松本五六,峰秀雄,花を褥,ryoka/t07.txt,1,5,t07,t07,t07
大正8年寮歌,熊谷巌,置塩奇,暗雲低く,ryoka/t08.txt,1,5,t08,t08,t08
大正9年寮歌,戸田早苗,藤田篤,無窮の空に,ryoka/t09.txt,1,5,t09,t09,t09
大正10年寮歌,青野正男,小峰三千男,生命の争闘,ryoka/t10.txt,1,5,t10,t10,t10
大正11年寮歌,牧原東洋男,高橋北雄,起伏しらぬ,ryoka/t11.txt,1,5,t11,t11,t11
大正11年新寮記念寮歌,服部光平,山本吉之助,かがやく路,ryoka/t11b.txt,1,5,t11b,t11b,t11b
大正12年寮歌,高橋北雄,西田貫道,春雨に濡る,ryoka/t12.txt,1,5,t12,t12,t12
大正13年寮歌,高野芳雄,神島辰雄,茫々はるか,ryoka/t13.txt,1,5,t13,t13,t13
大正14年寮歌,外山徳次郎,三溝清美,敝れし衣,ryoka/t14.txt,1,5,t14,t14,t14
大正14年開舎20周年記念寮歌,黒沢徹,三溝清美,大地はなごやかに,ryoka/t14b.txt,1,5,t14b,t14b,t14b
大正15年寮歌,木村左京,牧野千代治,ああ青春の歓喜を,ryoka/t15.txt,1,5,t15,t15,t15
大正15年開学50周年記念寮歌,井上哲郎,河口忠雄,爪紅の黎明の風,ryoka/t15b.txt,1,5,t15b,t15b,t15b
昭和2年寮歌,土井恒喜,長谷川吉郎,蒼空高く翔らむと,ryoka/s02.txt,1,5,s02,s02,s02
昭和3年寮歌,古河勝夫,宮本正治,郭公の声に,ryoka/s03.txt,1,5,s03,s03,s03
昭和4年寮歌,須田政美,森忠文,黒潮鳴れる,ryoka/s04.txt,1,5,s04,s04,s04
昭和5年寮歌,児山信蔵,有村徹,嗚呼青春の,ryoka/s05.txt,1,5,s05,s05,s05
昭和6年寮歌,広瀬英三,金景洙,平和の光輝ける,ryoka/s06.txt,1,5,s06,s06,s06
昭和6年閉寮記念寮歌,大槻均,中村小弥太,別離の歌,ryoka/s06b.txt,1,5,s06b,s06b,s06b
昭和7年寮歌,大槻均,中村小弥太,古城の春は,ryoka/s07.txt,1,5,s07,s07,s07
昭和8年寮歌,卜部清,白石祐義,タンネの氷柱,ryoka/s08.txt,1,5,s08,s08,s08
昭和9年寮歌,星勇,白石祐義,津軽の海,ryoka/s09.txt,1,5,s09,s09,s09
昭和10年寮歌,川村真,荻野辰夫,噫妖雲は,ryoka/s10.txt,1,5,s10,s10,s10
昭和11年寮歌,宍戸昌夫,村岡五郎,嗚呼茫々の,ryoka/s11.txt,1,5,s11,s11,s11
昭和12年寮歌,山崎善陽,平城鷹雄,魂の故郷,ryoka/s12.txt,1,5,s12,s12,s12
昭和12年第30回記念祭歌,平城鷹雄,宍戸昌夫,春未だ浅き,ryoka/s12b.txt,1,5,s12b,s12b,s12b
昭和13年寮歌,二階堂孝一,高橋寛,津軽の滄海の,ryoka/s13.txt,1,5,s13,s13,s13
昭和14年寮歌,望月真三郎,竹村伸一,時潮の流転,ryoka/s14.txt,1,5,s14,s14,s14
昭和15年寮歌,大井徹夫,,弥生の空に,ryoka/s15.txt,1,4,s15,s15,s15
昭和16年寮歌,切替辰哉,岡田和雄,湖に星の散るなり,ryoka/s16.txt,1,5,s16,s16,s16
昭和17年寮歌,橋爪秀雄,杢子一男,春来にけらし,ryoka/s17.txt,1,5,s17,s17,s17
昭和17年大東亜戦争頌歌,切替辰哉,池田政晴,あますなく拓きゆく道,ryoka/s17b.txt,1,5,s17b,s17b,s17b
昭和18年寮歌,橋爪秀雄,池田政晴,天地の奥に,ryoka/s18.txt,1,5,s18,s18,s18
昭和19年寮歌,鈴木信夫,竹山賢治,雪解の楡陵の,ryoka/s19.txt,1,5,s19,s19,s19
昭和20年寮歌,幸坂彪,新井忠雄,生命の旅路,ryoka/s20.txt,1,5,s20,s20,s20
昭和21年寮歌,渋谷富業,寺井幸夫,時潮の波の,ryoka/s21.txt,1,5,s21,s21,s21
昭和22年寮歌,篠原昭壽,竹内五男,暁の渚離りて,ryoka/s22.txt,1,5,s22,s22,s22
昭和22年第40回記念祭歌,山家貫之,堀井洵,浅緑燃ゆる,ryoka/s22b.txt,1,5,s22b,s22b,s22b
昭和23年寮歌,中坪清八,堀井洵,饗宴の杯に,ryoka/s23.txt,1,5,s23,s23,s23
昭和23年逍遙歌,中島通雄,佐々木淳,春静寂なる,ryoka/s23b.txt,1,5,s23b,s23b,s23b
昭和24年寮歌,池田基,伊藤嘉弘,彷徨へる心のままに,ryoka/s24.txt,1,5,s24,s24,s24
